epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.382,1.74072,6.33136,3.55343,0.8261,0.375,0.35747,0.21558,1.05244,4.32387,2.77243,0.00026,0.00026,0.00026
2,38.9287,1.21197,3.35084,2.45243,0.83335,0.62509,0.7212,0.499,0.9961,2.30292,2.13802,0.000538218,0.000538218,0.000538218
3,49.6439,1.00708,3.21684,2.24561,0.93167,0.85315,0.93058,0.66575,0.92285,1.59007,2.35378,0.000814588,0.000814588,0.000814588
4,61.9725,1.11782,1.62101,2.34796,0.84398,0.8125,0.90274,0.54558,1.09218,2.0196,2.32332,0.00108911,0.00108911,0.00108911
5,74.4516,1.133,1.30704,2.31658,0.83613,0.95745,0.9243,0.70469,1.06743,1.34128,2.25354,0.00136178,0.00136178,0.00136178
6,85.8738,1.06626,1.10356,2.47034,0.94469,0.875,0.97925,0.64306,1.1237,1.44368,2.26311,0.00163261,0.00163261,0.00163261
7,97.8667,1.11893,1.11485,2.47795,0.87905,0.90942,0.89176,0.57472,1.02918,2.67833,2.51114,0.00190159,0.00190159,0.00190159
8,111.753,1.06042,0.95423,2.47012,0.94497,0.8125,0.962,0.69004,1.00107,1.06547,2.2817,0.0019538,0.0019538,0.0019538
9,124.648,1.00113,0.91407,2.52675,0.8533,0.9375,0.97803,0.71488,1.0204,1.28874,2.43229,0.0019472,0.0019472,0.0019472
10,136.714,1.06056,0.80991,2.34798,0.98384,1,0.995,0.68831,0.96787,0.91952,2.4476,0.0019406,0.0019406,0.0019406
11,148.981,1.07774,0.83674,2.40178,0.99256,1,0.995,0.71015,0.95548,0.76916,2.39286,0.001934,0.001934,0.001934
12,161.237,1.15765,1.04524,2.47916,0.94023,1,0.995,0.73894,0.90253,0.99016,2.25871,0.0019274,0.0019274,0.0019274
13,172.91,0.98417,0.86673,2.46216,0.96651,0.8125,0.967,0.71878,0.96308,1.00136,2.44577,0.0019208,0.0019208,0.0019208
14,184.614,0.91672,0.76249,2.38351,0.88756,0.9375,0.98833,0.71689,0.82646,1.11752,2.41795,0.0019142,0.0019142,0.0019142
15,196.824,0.90267,0.81466,2.32814,0.91556,1,0.955,0.70384,0.95047,0.82982,2.21751,0.0019076,0.0019076,0.0019076
16,208.403,0.91502,0.79815,2.41373,0.77717,1,0.94993,0.76743,0.81488,0.78136,2.33108,0.001901,0.001901,0.001901
17,220.185,0.97526,0.78121,2.33092,0.99464,1,0.995,0.77345,0.88581,0.52786,2.2106,0.0018944,0.0018944,0.0018944
18,232.279,0.92568,0.78342,2.39358,0.99064,1,0.995,0.77577,0.91288,0.59995,2.30602,0.0018878,0.0018878,0.0018878
